{'N': 101, 'M': 16, 'A': 3, 'lam': 50, 'mu': 5, 'K': 20, 'Ca': 0.01, 'Cr': 7.47, 'Cs': 0.01, 'Cp': 0.075, 'Ck': 2, 'W': 0.083, 'beta': 0.95, 'epsilon': 0.0001, 'maxIter': 10000, 'INF': 20000000000000000000000000000000000}
Value iteration solution
Solution of MDP problem 
Size of the state space : 1616
Dimension to follow : 1
#############################################
# Solution of the entered problem model:
# - column 1: index of the state
# - column 2: Value function 
# - column 3: Optimal action 
#
 etat : 0	(   0,   0)	       0.0123958   1
 etat : 1	(   0,   1)	       0.0138826   1
 etat : 2	(   0,   2)	       0.0157215   1
 etat : 3	(   0,   3)	       0.0178473   1
 etat : 4	(   0,   4)	       0.0202927   1
 etat : 5	(   0,   5)	       0.0231047   1
 etat : 6	(   0,   6)	       0.0249959   2
 etat : 7	(   0,   7)	       0.0270572   2
 etat : 8	(   0,   8)	       0.0294591   2
 etat : 9	(   0,   9)	       0.0322576   2
 etat : 10	(   0,  10)	       0.0353429   2
 etat : 11	(   0,  11)	       0.0386043   2
 etat : 12	(   0,  12)	       0.0421625   2
 etat : 13	(   0,  13)	       0.0459373   2
 etat : 14	(   0,  14)	       0.0499224   2
 etat : 15	(   0,  15)	       0.0541008   2
 etat : 16	(   0,  16)	       0.0584435   2
 etat : 17	(   0,  17)	         0.06302   2
 etat : 18	(   0,  18)	       0.0676919   2
 etat : 19	(   0,  19)	       0.0725729   2
 etat : 20	(   0,  20)	        0.077614   2
 etat : 21	(   0,  21)	       0.0827565   2
 etat : 22	(   0,  22)	       0.0881203   2
 etat : 23	(   0,  23)	       0.0935578   2
 etat : 24	(   0,  24)	       0.0991883   2
 etat : 25	(   0,  25)	        0.104929   2
 etat : 26	(   0,  26)	        0.110781   2
 etat : 27	(   0,  27)	          0.1168   2
 etat : 28	(   0,  28)	         0.12287   2
 etat : 29	(   0,  29)	        0.129098   2
 etat : 30	(   0,  30)	        0.135402   2
 etat : 31	(   0,  31)	        0.141783   2
 etat : 32	(   0,  32)	        0.148303   2
 etat : 33	(   0,  33)	        0.154843   2
 etat : 34	(   0,  34)	        0.161535   2
 etat : 35	(   0,  35)	        0.168264   2
 etat : 36	(   0,  36)	        0.175106   2
 etat : 37	(   0,  37)	        0.182022   2
 etat : 38	(   0,  38)	        0.189014   2
 etat : 39	(   0,  39)	        0.196097   2
 etat : 40	(   0,  40)	        0.203235   2
 etat : 41	(   0,  41)	        0.210462   2
 etat : 42	(   0,  42)	        0.217745   2
 etat : 43	(   0,  43)	         0.22509   2
 etat : 44	(   0,  44)	        0.232516   2
 etat : 45	(   0,  45)	        0.239967   2
 etat : 46	(   0,  46)	        0.247521   2
 etat : 47	(   0,  47)	        0.255085   2
 etat : 48	(   0,  48)	         0.26275   2
 etat : 49	(   0,  49)	         0.27044   2
 etat : 50	(   0,  50)	        0.278208   2
 etat : 51	(   0,  51)	        0.286023   2
 etat : 52	(   0,  52)	        0.293893   2
 etat : 53	(   0,  53)	        0.301824   2
 etat : 54	(   0,  54)	        0.309794   2
 etat : 55	(   0,  55)	        0.317827   2
 etat : 56	(   0,  56)	        0.325902   2
 etat : 57	(   0,  57)	        0.334025   2
 etat : 58	(   0,  58)	        0.342212   2
 etat : 59	(   0,  59)	        0.350434   2
 etat : 60	(   0,  60)	        0.358751   2
 etat : 61	(   0,  61)	        0.367117   2
 etat : 62	(   0,  62)	        0.375608   2
 etat : 63	(   0,  63)	        0.384197   2
 etat : 64	(   0,  64)	        0.392945   2
 etat : 65	(   0,  65)	        0.401856   2
 etat : 66	(   0,  66)	        0.410964   2
 etat : 67	(   0,  67)	        0.420283   2
 etat : 68	(   0,  68)	        0.429825   2
 etat : 69	(   0,  69)	        0.439591   2
 etat : 70	(   0,  70)	        0.449578   2
 etat : 71	(   0,  71)	        0.459769   2
 etat : 72	(   0,  72)	        0.470151   2
 etat : 73	(   0,  73)	        0.480702   2
 etat : 74	(   0,  74)	        0.491401   2
 etat : 75	(   0,  75)	        0.502231   2
 etat : 76	(   0,  76)	        0.513176   2
 etat : 77	(   0,  77)	        0.524224   2
 etat : 78	(   0,  78)	        0.535371   2
 etat : 79	(   0,  79)	        0.546623   2
 etat : 80	(   0,  80)	        0.558004   2
 etat : 81	(   0,  81)	        0.569569   2
 etat : 82	(   0,  82)	        0.581433   2
 etat : 83	(   0,  83)	        0.593821   2
 etat : 84	(   0,  84)	        0.607161   2
 etat : 85	(   0,  85)	        0.622274   2
 etat : 86	(   0,  86)	        0.640711   2
 etat : 87	(   0,  87)	        0.665436   2
 etat : 88	(   0,  88)	        0.702021   2
 etat : 89	(   0,  89)	        0.761158   2
 etat : 90	(   0,  90)	        0.862322   2
 etat : 91	(   0,  91)	          1.0417   2
 etat : 92	(   0,  92)	         1.36041   2
