{'N': 101, 'M': 16, 'A': 3, 'lam': 50, 'mu': 5, 'K': 10, 'Ca': 0.00017, 'Cr': 7.47, 'Cs': 0.01, 'Cp': 0.075, 'Ck': 2, 'W': 0.083, 'beta': 0.95, 'epsilon': 0.0001, 'maxIter': 10000, 'INF': 20000000000000000000000000000000000}
Value iteration solution
Solution of MDP problem 
Size of the state space : 1616
Dimension to follow : 1
#############################################
# Solution of the entered problem model:
# - column 1: index of the state
# - column 2: Value function 
# - column 3: Optimal action 
#
 etat : 0	(   0,   0)	      0.00326704   1
 etat : 1	(   0,   1)	      0.00350423   1
 etat : 2	(   0,   2)	       0.0037976   1
 etat : 3	(   0,   3)	      0.00413675   1
 etat : 4	(   0,   4)	      0.00452688   1
 etat : 5	(   0,   5)	      0.00497551   2
 etat : 6	(   0,   6)	      0.00526522   2
 etat : 7	(   0,   7)	      0.00560131   2
 etat : 8	(   0,   8)	      0.00599267   2
 etat : 9	(   0,   9)	      0.00709014   2
 etat : 10	(   0,  10)	       0.0085873   2
 etat : 11	(   0,  11)	       0.0101033   2
 etat : 12	(   0,  12)	       0.0119909   2
 etat : 13	(   0,  13)	       0.0142934   2
 etat : 14	(   0,  14)	       0.0166726   2
 etat : 15	(   0,  15)	        0.019295   2
 etat : 16	(   0,  16)	       0.0222749   2
 etat : 17	(   0,  17)	       0.0253284   2
 etat : 18	(   0,  18)	       0.0286068   2
 etat : 19	(   0,  19)	       0.0321622   2
 etat : 20	(   0,  20)	       0.0357704   2
 etat : 21	(   0,  21)	       0.0396393   2
 etat : 22	(   0,  22)	       0.0436789   2
 etat : 23	(   0,  23)	       0.0478172   2
 etat : 24	(   0,  24)	       0.0521877   2
 etat : 25	(   0,  25)	        0.056671   2
 etat : 26	(   0,  26)	       0.0612911   2
 etat : 27	(   0,  27)	       0.0660877   2
 etat : 28	(   0,  28)	       0.0709825   2
 etat : 29	(   0,  29)	       0.0760219   2
 etat : 30	(   0,  30)	        0.081186   2
 etat : 31	(   0,  31)	       0.0864553   2
 etat : 32	(   0,  32)	        0.091847   2
 etat : 33	(   0,  33)	       0.0973443   2
 etat : 34	(   0,  34)	        0.102945   2
 etat : 35	(   0,  35)	        0.108649   2
 etat : 36	(   0,  36)	        0.114452   2
 etat : 37	(   0,  37)	        0.120347   2
 etat : 38	(   0,  38)	        0.126334   2
 etat : 39	(   0,  39)	        0.132414   2
 etat : 40	(   0,  40)	        0.138573   2
 etat : 41	(   0,  41)	         0.14482   2
 etat : 42	(   0,  42)	        0.151148   2
 etat : 43	(   0,  43)	        0.157546   2
 etat : 44	(   0,  44)	        0.164031   2
 etat : 45	(   0,  45)	        0.170579   2
 etat : 46	(   0,  46)	        0.177206   2
 etat : 47	(   0,  47)	        0.183901   2
 etat : 48	(   0,  48)	        0.190662   2
 etat : 49	(   0,  49)	        0.197496   2
 etat : 50	(   0,  50)	        0.204392   2
 etat : 51	(   0,  51)	        0.211353   2
 etat : 52	(   0,  52)	        0.218381   2
 etat : 53	(   0,  53)	        0.225468   2
 etat : 54	(   0,  54)	        0.232622   2
 etat : 55	(   0,  55)	        0.239839   2
 etat : 56	(   0,  56)	        0.247122   2
 etat : 57	(   0,  57)	         0.25448   2
 etat : 58	(   0,  58)	        0.261918   2
 etat : 59	(   0,  59)	        0.269454   2
 etat : 60	(   0,  60)	        0.277105   2
 etat : 61	(   0,  61)	        0.284899   2
 etat : 62	(   0,  62)	        0.292858   2
 etat : 63	(   0,  63)	        0.301022   2
 etat : 64	(   0,  64)	        0.309407   2
 etat : 65	(   0,  65)	         0.31805   2
 etat : 66	(   0,  66)	        0.326956   2
 etat : 67	(   0,  67)	        0.336143   2
 etat : 68	(   0,  68)	        0.345601   2
 etat : 69	(   0,  69)	        0.355323   2
 etat : 70	(   0,  70)	         0.36529   2
 etat : 71	(   0,  71)	        0.375478   2
 etat : 72	(   0,  72)	        0.385864   2
 etat : 73	(   0,  73)	        0.396423   2
 etat : 74	(   0,  74)	        0.407132   2
 etat : 75	(   0,  75)	        0.417971   2
 etat : 76	(   0,  76)	        0.428923   2
 etat : 77	(   0,  77)	        0.439978   2
 etat : 78	(   0,  78)	        0.451131   2
 etat : 79	(   0,  79)	        0.462388   2
 etat : 80	(   0,  80)	        0.473773   2
 etat : 81	(   0,  81)	        0.485342   2
 etat : 82	(   0,  82)	        0.497209   2
 etat : 83	(   0,  83)	        0.509599   2
 etat : 84	(   0,  84)	        0.522942   2
 etat : 85	(   0,  85)	        0.538057   2
 etat : 86	(   0,  86)	        0.556495   2
 etat : 87	(   0,  87)	         0.58122   2
 etat : 88	(   0,  88)	        0.617798   2
 etat : 89	(   0,  89)	        0.676924   2
 etat : 90	(   0,  90)	        0.778032   2
 etat : 91	(   0,  91)	        0.957327   2
 etat : 92	(   0,  92)	         1.27578   2
 etat : 93	(   0,  93)	         1.83726   2
 etat : 94	(   0,  94)	         2.79736   2
 etat : 95	(   0,  95)	         4.38758   2
 etat : 96	(   0,  96)	         6.90939   2
 etat : 97	(   0,  97)	         10.7528   2
 etat : 98	(   0,  98)	         16.3818   2
 etat : 99	(   0,  99)	         24.3997   2
 etat : 100	(   0, 100)	         35.6926   2

 etat : 101	(   1,   0)	      0.00344019   0
 etat : 102	(   1,   1)	      0.00366338   0
 etat : 103	(   1,   2)	      0.00395675   0
 etat : 104	(   1,   3)	       0.0042959   0
 etat : 105	(   1,   4)	      0.00455883   1
 etat : 106	(   1,   5)	      0.00481488   1
 etat : 107	(   1,   6)	      0.00510459   1
 etat : 108	(   1,   7)	      0.00544068   1
 etat : 109	(   1,   8)	      0.00583205   1
 etat : 110	(   1,   9)	      0.00628802   2
 etat : 111	(   1,  10)	      0.00657163   2
 etat : 112	(   1,  11)	      0.00690295   2
 etat : 113	(   1,  12)	      0.00729393   2
 etat : 114	(   1,  13)	      0.00817222   2
 etat : 115	(   1,  14)	      0.00959304   2
 etat : 116	(   1,  15)	       0.0110191   2
 etat : 117	(   1,  16)	       0.0126617   2
 etat : 118	(   1,  17)	       0.0147812   2
 etat : 119	(   1,  18)	       0.0169559   2
 etat : 120	(   1,  19)	       0.0193356   2
 etat : 121	(   1,  20)	       0.0220748   2
 etat : 122	(   1,  21)	       0.0248436   2
 etat : 123	(   1,  22)	       0.0278888   2
 etat : 124	(   1,  23)	       0.0311565   2
 etat : 125	(   1,  24)	       0.0345008   2
 etat : 126	(   1,  25)	       0.0381109   2
 etat : 127	(   1,  26)	       0.0418565   2
 etat : 128	(   1,  27)	       0.0457319   2
 etat : 129	(   1,  28)	       0.0498162   2
 etat : 130	(   1,  29)	       0.0540058   2
 etat : 131	(   1,  30)	       0.0583468   2
 etat : 132	(   1,  31)	       0.0628336   2
 etat : 133	(   1,  32)	       0.0674306   2
 etat : 134	(   1,  33)	       0.0721623   2
 etat : 135	(   1,  34)	       0.0770129   2
 etat : 136	(   1,  35)	       0.0819753   2
 etat : 137	(   1,  36)	       0.0870508   2
 etat : 138	(   1,  37)	        0.092237   2
 etat : 139	(   1,  38)	        0.097524   2
 etat : 140	(   1,  39)	        0.102912   2
 etat : 141	(   1,  40)	        0.108403   2
 etat : 142	(   1,  41)	         0.11398   2
 etat : 143	(   1,  42)	        0.119654   2
 etat : 144	(   1,  43)	        0.125419   2
 etat : 145	(   1,  44)	        0.131258   2
 etat : 146	(   1,  45)	        0.137197   2
 etat : 147	(   1,  46)	        0.143203   2
 etat : 148	(   1,  47)	        0.149296   2
 etat : 149	(   1,  48)	        0.155466   2
 etat : 150	(   1,  49)	        0.161707   2
 etat : 151	(   1,  50)	        0.168029   2
 etat : 152	(   1,  51)	        0.174421   2
 etat : 153	(   1,  52)	        0.180884   2
 etat : 154	(   1,  53)	        0.187421   2
 etat : 155	(   1,  54)	        0.194025   2
 etat : 156	(   1,  55)	        0.200701   2
 etat : 157	(   1,  56)	         0.20745   2
 etat : 158	(   1,  57)	        0.214272   2
 etat : 159	(   1,  58)	        0.221179   2
 etat : 160	(   1,  59)	         0.22818   2
 etat : 161	(   1,  60)	        0.235295   2
 etat : 162	(   1,  61)	        0.242543   2
 etat : 163	(   1,  62)	        0.249961   2
 etat : 164	(   1,  63)	        0.257572   2
 etat : 165	(   1,  64)	        0.265423   2
 etat : 166	(   1,  65)	        0.273531   2
 etat : 167	(   1,  66)	        0.281937   2
 etat : 168	(   1,  67)	        0.290643   2
 etat : 169	(   1,  68)	        0.299664   2
 etat : 170	(   1,  69)	        0.308988   2
 etat : 171	(   1,  70)	        0.318602   2
 etat : 172	(   1,  71)	        0.328481   2
 etat : 173	(   1,  72)	          0.3386   2
 etat : 174	(   1,  73)	         0.34893   2
 etat : 175	(   1,  74)	        0.359442   2
 etat : 176	(   1,  75)	        0.370114   2
 etat : 177	(   1,  76)	        0.380922   2
 etat : 178	(   1,  77)	        0.391851   2
 etat : 179	(   1,  78)	        0.402889   2
