{'N': 101, 'M': 6, 'A': 3, 'lam': 50, 'mu': 10, 'K': 5, 'Ca': 0, 'Cr': 13.41, 'Cs': 0.02, 'Cp': 0.134, 'Ck': 2, 'W': 0.25, 'beta': 0.95, 'epsilon': 0.0001, 'maxIter': 10000, 'INF': 20000000000000000000000000000000000}
Value iteration solution
Solution of MDP problem 
Size of the state space : 606
Dimension to follow : 1
#############################################
# Solution of the entered problem model:
# - column 1: index of the state
# - column 2: Value function 
# - column 3: Optimal action 
#
 etat : 0	(   0,   0)	      0.00435066   1
 etat : 1	(   0,   1)	      0.00443344   1
 etat : 2	(   0,   2)	      0.00454236   1
 etat : 3	(   0,   3)	      0.00466912   1
 etat : 4	(   0,   4)	      0.00481413   1
 etat : 5	(   0,   5)	      0.00497958   1
 etat : 6	(   0,   6)	      0.00516827   1
 etat : 7	(   0,   7)	      0.00538346   1
 etat : 8	(   0,   8)	      0.00562887   1
 etat : 9	(   0,   9)	      0.00590873   1
 etat : 10	(   0,  10)	      0.00622789   1
 etat : 11	(   0,  11)	      0.00659187   1
 etat : 12	(   0,  12)	      0.00700696   1
 etat : 13	(   0,  13)	      0.00748033   2
 etat : 14	(   0,  14)	       0.0076938   2
 etat : 15	(   0,  15)	      0.00782801   2
 etat : 16	(   0,  16)	      0.00794607   2
 etat : 17	(   0,  17)	      0.00807134   2
 etat : 18	(   0,  18)	      0.00821399   2
 etat : 19	(   0,  19)	      0.00838012   2
 etat : 20	(   0,  20)	      0.00857487   2
 etat : 21	(   0,  21)	      0.00880362   2
 etat : 22	(   0,  22)	      0.00907246   2
 etat : 23	(   0,  23)	      0.00938847   2
 etat : 24	(   0,  24)	      0.00975993   2
 etat : 25	(   0,  25)	       0.0101966   2
 etat : 26	(   0,  26)	       0.0123609   2
 etat : 27	(   0,  27)	       0.0144769   2
 etat : 28	(   0,  28)	       0.0165053   2
 etat : 29	(   0,  29)	       0.0185005   2
 etat : 30	(   0,  30)	       0.0204914   2
 etat : 31	(   0,  31)	       0.0224946   2
 etat : 32	(   0,  32)	       0.0245217   2
 etat : 33	(   0,  33)	       0.0265824   2
 etat : 34	(   0,  34)	       0.0286864   2
 etat : 35	(   0,  35)	       0.0308444   2
 etat : 36	(   0,  36)	       0.0330692   2
 etat : 37	(   0,  37)	       0.0357977   2
 etat : 38	(   0,  38)	       0.0390682   2
 etat : 39	(   0,  39)	       0.0424633   2
 etat : 40	(   0,  40)	       0.0460268   2
 etat : 41	(   0,  41)	        0.049542   2
 etat : 42	(   0,  42)	       0.0530343   2
 etat : 43	(   0,  43)	       0.0565212   2
 etat : 44	(   0,  44)	       0.0600163   2
 etat : 45	(   0,  45)	       0.0635313   2
 etat : 46	(   0,  46)	       0.0670779   2
 etat : 47	(   0,  47)	       0.0706691   2
 etat : 48	(   0,  48)	       0.0743204   2
 etat : 49	(   0,  49)	       0.0785549   2
 etat : 50	(   0,  50)	       0.0828302   2
 etat : 51	(   0,  51)	       0.0876256   2
 etat : 52	(   0,  52)	       0.0924033   2
 etat : 53	(   0,  53)	       0.0972589   2
 etat : 54	(   0,  54)	         0.10208   2
 etat : 55	(   0,  55)	        0.106873   2
 etat : 56	(   0,  56)	        0.111656   2
 etat : 57	(   0,  57)	        0.116443   2
 etat : 58	(   0,  58)	        0.121252   2
 etat : 59	(   0,  59)	          0.1261   2
 etat : 60	(   0,  60)	        0.131115   2
 etat : 61	(   0,  61)	        0.136322   2
 etat : 62	(   0,  62)	        0.141781   2
 etat : 63	(   0,  63)	        0.147519   2
 etat : 64	(   0,  64)	         0.15339   2
 etat : 65	(   0,  65)	        0.159428   2
 etat : 66	(   0,  66)	        0.165528   2
 etat : 67	(   0,  67)	        0.171742   2
 etat : 68	(   0,  68)	        0.178114   2
 etat : 69	(   0,  69)	        0.184748   2
 etat : 70	(   0,  70)	        0.191802   2
 etat : 71	(   0,  71)	        0.199515   2
 etat : 72	(   0,  72)	        0.208247   2
 etat : 73	(   0,  73)	        0.218284   2
 etat : 74	(   0,  74)	        0.230118   2
 etat : 75	(   0,  75)	        0.243797   2
 etat : 76	(   0,  76)	        0.259596   2
 etat : 77	(   0,  77)	        0.277328   2
 etat : 78	(   0,  78)	        0.296993   2
 etat : 79	(   0,  79)	        0.318484   2
 etat : 80	(   0,  80)	        0.341886   2
 etat : 81	(   0,  81)	        0.367469   2
 etat : 82	(   0,  82)	        0.395812   2
 etat : 83	(   0,  83)	        0.427927   2
 etat : 84	(   0,  84)	        0.465466   2
 etat : 85	(   0,  85)	         0.51104   2
 etat : 86	(   0,  86)	        0.568712   2
 etat : 87	(   0,  87)	        0.644759   2
 etat : 88	(   0,  88)	        0.748839   2
 etat : 89	(   0,  89)	        0.895792   2
 etat : 90	(   0,  90)	         1.10838   2
 etat : 91	(   0,  91)	         1.42154   2
 etat : 92	(   0,  92)	         1.88882   2
 etat : 93	(   0,  93)	         2.59231   2
 etat : 94	(   0,  94)	         3.65792   2
 etat : 95	(   0,  95)	         5.27861   2
 etat : 96	(   0,  96)	         7.75026   2
 etat : 97	(   0,  97)	         11.6861   2
 etat : 98	(   0,  98)	         17.9572   2
 etat : 99	(   0,  99)	         28.3794   2
 etat : 100	(   0, 100)	         45.7006   2

 etat : 101	(   1,   0)	      0.00435066   0
 etat : 102	(   1,   1)	      0.00443344   0
 etat : 103	(   1,   2)	      0.00454236   0
 etat : 104	(   1,   3)	      0.00466912   0
 etat : 105	(   1,   4)	      0.00481413   0
 etat : 106	(   1,   5)	      0.00497958   0
 etat : 107	(   1,   6)	      0.00516827   0
 etat : 108	(   1,   7)	      0.00538346   0
 etat : 109	(   1,   8)	      0.00562887   0
 etat : 110	(   1,   9)	      0.00590873   0
 etat : 111	(   1,  10)	      0.00622789   0
 etat : 112	(   1,  11)	      0.00659187   0
 etat : 113	(   1,  12)	      0.00700696   0
 etat : 114	(   1,  13)	      0.00748033   1
 etat : 115	(   1,  14)	       0.0076938   1
 etat : 116	(   1,  15)	      0.00782801   1
 etat : 117	(   1,  16)	      0.00794607   1
 etat : 118	(   1,  17)	      0.00807134   1
 etat : 119	(   1,  18)	      0.00821399   1
 etat : 120	(   1,  19)	      0.00838012   1
 etat : 121	(   1,  20)	      0.00857487   1
 etat : 122	(   1,  21)	      0.00880362   1
 etat : 123	(   1,  22)	      0.00907246   1
 etat : 124	(   1,  23)	      0.00938847   1
 etat : 125	(   1,  24)	      0.00975993   1
 etat : 126	(   1,  25)	       0.0101966   1
 etat : 127	(   1,  26)	       0.0107099   2
 etat : 128	(   1,  27)	       0.0109949   2
 etat : 129	(   1,  28)	       0.0111759   2
 etat : 130	(   1,  29)	       0.0113155   2
 etat : 131	(   1,  30)	       0.0114463   2
 etat : 132	(   1,  31)	       0.0115871   2
 etat : 133	(   1,  32)	       0.0117502   2
 etat : 134	(   1,  33)	       0.0119456   2
 etat : 135	(   1,  34)	       0.0121828   2
 etat : 136	(   1,  35)	       0.0124728   2
 etat : 137	(   1,  36)	       0.0128279   2
 etat : 138	(   1,  37)	       0.0132632   2
 etat : 139	(   1,  38)	        0.014436   2
 etat : 140	(   1,  39)	       0.0163982   2
 etat : 141	(   1,  40)	       0.0182542   2
 etat : 142	(   1,  41)	       0.0200498   2
 etat : 143	(   1,  42)	       0.0218147   2
 etat : 144	(   1,  43)	       0.0235689   2
 etat : 145	(   1,  44)	       0.0253274   2
 etat : 146	(   1,  45)	       0.0271025   2
 etat : 147	(   1,  46)	       0.0289061   2
 etat : 148	(   1,  47)	       0.0307509   2
 etat : 149	(   1,  48)	       0.0326519   2
 etat : 150	(   1,  49)	       0.0346276   2
 etat : 151	(   1,  50)	       0.0374646   2
 etat : 152	(   1,  51)	       0.0403338   2
 etat : 153	(   1,  52)	       0.0436467   2
 etat : 154	(   1,  53)	       0.0469199   2
 etat : 155	(   1,  54)	       0.0501338   2
 etat : 156	(   1,  55)	        0.053311   2
 etat : 157	(   1,  56)	       0.0564702   2
 etat : 158	(   1,  57)	       0.0596276   2
 etat : 159	(   1,  58)	       0.0627996   2
 etat : 160	(   1,  59)	       0.0660041   2
 etat : 161	(   1,  60)	       0.0692628   2
 etat : 162	(   1,  61)	       0.0727619   2
 etat : 163	(   1,  62)	       0.0765312   2
 etat : 164	(   1,  63)	       0.0805838   2
 etat : 165	(   1,  64)	       0.0849532   2
 etat : 166	(   1,  65)	       0.0894103   2
 etat : 167	(   1,  66)	       0.0939943   2
 etat : 168	(   1,  67)	       0.0986365   2
 etat : 169	(   1,  68)	        0.103402   2
 etat : 170	(   1,  69)	        0.108381   2
 etat : 171	(   1,  70)	         0.11371   2
 etat : 172	(   1,  71)	         0.11959   2
 etat : 173	(   1,  72)	        0.126328   2
 etat : 174	(   1,  73)	        0.134392   2
 etat : 175	(   1,  74)	        0.144089   2
 etat : 176	(   1,  75)	         0.15598   2
 etat : 177	(   1,  76)	        0.170015   2
 etat : 178	(   1,  77)	        0.186386   2
 etat : 179	(   1,  78)	        0.204829   2
