{'N': 101, 'M': 3, 'A': 3, 'lam': 50, 'mu': 20, 'K': 5, 'Ca': 0.00068, 'Cr': 58.09, 'Cs': 0.04, 'Cp': 0.581, 'Ck': 2, 'W': 0.083, 'beta': 0.95, 'epsilon': 0.0001, 'maxIter': 10000, 'INF': 20000000000000000000000000000000000}
Value iteration solution
Solution of MDP problem 
Size of the state space : 303
Dimension to follow : 1
#############################################
# Solution of the entered problem model:
# - column 1: index of the state
# - column 2: Value function 
# - column 3: Optimal action 
#
 etat : 0	(   0,   0)	       0.0154644   1
 etat : 1	(   0,   1)	        0.016413   1
 etat : 2	(   0,   2)	       0.0178508   1
 etat : 3	(   0,   3)	       0.0196508   1
 etat : 4	(   0,   4)	       0.0218041   1
 etat : 5	(   0,   5)	       0.0243481   2
 etat : 6	(   0,   6)	       0.0271625   2
 etat : 7	(   0,   7)	       0.0309049   2
 etat : 8	(   0,   8)	       0.0362616   2
 etat : 9	(   0,   9)	       0.0485941   2
 etat : 10	(   0,  10)	       0.0668966   2
 etat : 11	(   0,  11)	       0.0914446   2
 etat : 12	(   0,  12)	         0.12559   2
 etat : 13	(   0,  13)	        0.170957   2
 etat : 14	(   0,  14)	        0.227916   2
 etat : 15	(   0,  15)	         0.29545   2
 etat : 16	(   0,  16)	         0.37126   2
 etat : 17	(   0,  17)	         0.45355   2
 etat : 18	(   0,  18)	        0.540911   2
 etat : 19	(   0,  19)	        0.632243   2
 etat : 20	(   0,  20)	        0.726682   2
 etat : 21	(   0,  21)	        0.823553   2
 etat : 22	(   0,  22)	        0.922328   2
 etat : 23	(   0,  23)	         1.02259   2
 etat : 24	(   0,  24)	         1.12403   2
 etat : 25	(   0,  25)	         1.22637   2
 etat : 26	(   0,  26)	         1.32943   2
 etat : 27	(   0,  27)	         1.43305   2
 etat : 28	(   0,  28)	         1.53711   2
 etat : 29	(   0,  29)	         1.64151   2
 etat : 30	(   0,  30)	         1.74618   2
 etat : 31	(   0,  31)	         1.85106   2
 etat : 32	(   0,  32)	          1.9561   2
 etat : 33	(   0,  33)	         2.06127   2
 etat : 34	(   0,  34)	         2.16655   2
 etat : 35	(   0,  35)	          2.2719   2
 etat : 36	(   0,  36)	         2.37731   2
 etat : 37	(   0,  37)	         2.48278   2
 etat : 38	(   0,  38)	         2.58828   2
 etat : 39	(   0,  39)	          2.6938   2
 etat : 40	(   0,  40)	         2.79936   2
 etat : 41	(   0,  41)	         2.90493   2
 etat : 42	(   0,  42)	         3.01051   2
 etat : 43	(   0,  43)	         3.11611   2
 etat : 44	(   0,  44)	         3.22171   2
 etat : 45	(   0,  45)	         3.32732   2
 etat : 46	(   0,  46)	         3.43294   2
 etat : 47	(   0,  47)	         3.53856   2
 etat : 48	(   0,  48)	         3.64419   2
 etat : 49	(   0,  49)	         3.74981   2
 etat : 50	(   0,  50)	         3.85544   2
 etat : 51	(   0,  51)	         3.96107   2
 etat : 52	(   0,  52)	          4.0667   2
 etat : 53	(   0,  53)	         4.17234   2
 etat : 54	(   0,  54)	         4.27797   2
 etat : 55	(   0,  55)	          4.3836   2
 etat : 56	(   0,  56)	         4.48924   2
 etat : 57	(   0,  57)	         4.59487   2
 etat : 58	(   0,  58)	         4.70051   2
 etat : 59	(   0,  59)	         4.80614   2
 etat : 60	(   0,  60)	         4.91178   2
 etat : 61	(   0,  61)	         5.01742   2
 etat : 62	(   0,  62)	         5.12306   2
 etat : 63	(   0,  63)	          5.2287   2
 etat : 64	(   0,  64)	         5.33434   2
 etat : 65	(   0,  65)	         5.43999   2
 etat : 66	(   0,  66)	         5.54565   2
 etat : 67	(   0,  67)	         5.65132   2
 etat : 68	(   0,  68)	           5.757   2
 etat : 69	(   0,  69)	         5.86271   2
 etat : 70	(   0,  70)	         5.96847   2
 etat : 71	(   0,  71)	         6.07428   2
 etat : 72	(   0,  72)	         6.18019   2
 etat : 73	(   0,  73)	         6.28624   2
 etat : 74	(   0,  74)	         6.39252   2
 etat : 75	(   0,  75)	         6.49913   2
 etat : 76	(   0,  76)	         6.60627   2
 etat : 77	(   0,  77)	         6.71422   2
 etat : 78	(   0,  78)	         6.82339   2
 etat : 79	(   0,  79)	         6.93444   2
 etat : 80	(   0,  80)	         7.04839   2
 etat : 81	(   0,  81)	         7.16676   2
 etat : 82	(   0,  82)	         7.29192   2
 etat : 83	(   0,  83)	         7.42749   2
 etat : 84	(   0,  84)	         7.57902   2
 etat : 85	(   0,  85)	         7.75501   2
 etat : 86	(   0,  86)	          7.9685   2
 etat : 87	(   0,  87)	         8.23948   2
 etat : 88	(   0,  88)	         8.59859   2
 etat : 89	(   0,  89)	         9.09281   2
 etat : 90	(   0,  90)	         9.79415   2
 etat : 91	(   0,  91)	          10.813   2
 etat : 92	(   0,  92)	         12.3186   2
 etat : 93	(   0,  93)	         14.5705   2
 etat : 94	(   0,  94)	         17.9664   2
 etat : 95	(   0,  95)	          23.116   2
 etat : 96	(   0,  96)	         30.9541   2
 etat : 97	(   0,  97)	         42.9139   2
 etat : 98	(   0,  98)	         61.1922   2
 etat : 99	(   0,  99)	         89.1571   2
